Fatal_Accident_Index,Fatal_Casualty_Type,Fatal_Casualty_Sex,Fatal_Casualty_Age
"200601CP00117",Pedestrian,Male,33
"200601TA00014",Pedestrian,Male,64
"200601TA00032",Pedestrian,Male,2
"200601TA00055",Motor_Cycle_Rider,Male,41
"200601TA00075",Motor_Cycle_Rider,Male,30
"200601TA00077",Pedestrian,Male,38
"200601TA00086",Motor_Cycle_Rider,Male,20
"200601TA00094",Pedestrian,Female,52
"200601TA00099",Pedestrian,Female,27
"200601TA00105",Car_Driver,Male,26
"200601TA00118",Pedestrian,Male,20
"200601TA00119",Pedestrian,Female,55
"200601TA00144",Pedestrian,Male,70
"200601TA00149",Pedal Cyclist,Female,43
"200601TA00150",Pedestrian,Male,46
"200601TA00153",Motor_Cycle_Rider,Male,17
"200601TA00154",Motor_Cycle_Rider,Male,20
"200601TA00173",Pedestrian,Male,36
"200601TA00174",Pedestrian,Female,81
"200601TA00175",Pedestrian,Female,87
"200601TA00195",Pedestrian,Male,93
"200601TA00199",Motor_Cycle_Rider,Male,40
"200601TA00200",Pedal Cyclist,Male,31
"200601TA00205",Pedal Cyclist,Female,32
"200601TA00209",Motor_Cycle_Rider,Male,15
"200601TA00210",Pedestrian,Female,71
"200601TA00212",Pedestrian,Male,65
"200601TA00240",Pedal Cyclist,Female,28
"200601TA00243",Pedestrian,Female,81
"200601TA00263",Pedestrian,Male,72
"200601TA00274",Car_Passenger,Female,22
"200601TA00276",Pedal Cyclist,Male,35
"200601TA00278",Car_Driver,Female,44
"200601TA00292",Pedal Cyclist,Female,56
"200601TA00293",Pedestrian,Male,42
"200601TA00294",Car_Driver,Male,34
"200601TA00296",Pedestrian,Female,39
"200601TB00007",Car_Driver,Male,29
"200601TB00012",Car_Driver,Male,63
"200601TB00013",Pedestrian,Female,68
"200601TB00019",Pedestrian,Male,38
"200601TB00029",Pedal Cyclist,Female,33
"200601TB00031",Car_Driver,Female,68
"200601TB00050",Pedestrian,Male,53
"200601TB00058",Pedestrian,Male,41
"200601TB00068",Pedestrian,Male,20
"200601TB00084",Pedestrian,Male,78
"200601TB00087",Pedestrian,Male,53
"200601TB00099",Van_Driver,Male,45
"200601TB00100",Pedestrian,Female,78
"200601TB00103",Car_Driver,Male,48
"200601TB00116",Car_Passenger,Female,83
"200601TB00118",Motor_Cycle_Rider,Male,19
"200601TB00124",Pedestrian,Male,46
"200601TB00149",Pedal Cyclist,Male,31
"200601TB00153",Motor_Cycle_Rider,Male,40
"200601TB00155",Pedestrian,Male,20
"200601TB00156",Pedestrian,Male,23
"200601TB00158",Pedestrian,Male,69
"200601TB00160",Motor_Cycle_Rider,Male,35
"200601TB00164",Pedestrian,Male,88
"200601TB00171",Pedestrian,Male,65
"200601TB00179",Motor_Cycle_Rider,Female,26
"200601TB00190",Car_Driver,Male,80
"200601TB00203",Motor_Cycle_Rider,Male,21
"200601TB00205",Pedestrian,Male,33
"200601TB00205",Motor_Cycle_Rider,Male,23
"200601TB00209",Car_Driver,Male,12
"200601TB00215",Pedestrian,Female,31
"200601TB00219",Motor_Cycle_Rider,Male,25
"200601TB00227",Bus_Passenger,Female,86
"200601TB00233",Motor_Cycle_Rider,Male,22
"200601TB00240",Motor_Cycle_Rider,Male,28
"200601TB00241",Pedestrian,Male,55
"200601TB00256",Car_Driver,Male,37
"200601TB00266",Car_Driver,Male,20
"200601TB00268",Car_Driver,Male,25
"200601TB00283",Pedestrian,Female,25
"200601TB00286",Pedestrian,Male,80
"200601TB00293",Pedestrian,Male,83
"200601TB09031",Car_Driver,Male,73
"200601TC00015",Motor_Cycle_Rider,Male,17
"200601TC00018",Pedestrian,Male,37
"200601TC00027",Car_Driver,Male,23
"200601TC00027",Car_Passenger,Male,16
"200601TC00030",Car_Driver,Male,50
"200601TC00036",Pedestrian,Male,84
"200601TC00045",Pedestrian,Female,25
"200601TC00051",Car_Driver,Male,19
"200601TC00051",Car_Passenger,Male,18
"200601TC00061",Pedestrian,Female,86
"200601TC00071",Pedestrian,Female,48
"200601TC00085",Car_Passenger,Female,20
"200601TC00091",Car_Driver,Male,21
"200601TC00099",Pedestrian,Male,52
"200601TC00117",Pedestrian,Male,16
"200601TC00125",Car_Driver,Male,43
"200601TC00131",Motor_Cycle_Rider,Male,25
"200601TC00137",Pedestrian,Male,30
"200601TC00142",Motor_Cycle_Rider,Male,25
"200601TC00144",Pedal Cyclist,Male,30
"200601TC00148",Pedestrian,Female,89
